,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0008861320336730173,
47,0.0017722640673460345,
48,0.0017722640673460345,
49,0.004430660168365087,
50,0.004430660168365087,
51,0.004430660168365087,
52,0.007089056269384138,
53,0.00664599025254763,
54,0.007975188303057157,
55,0.011962782454585734,
56,0.012848914488258752,
57,0.027027027027027025,
58,0.02968542312804608,
59,0.03633141338059371,
60,0.043863535666814356,
61,0.05095259193619849,
62,0.06734603455914932,
63,0.08506867523260965,
64,0.08684093929995569,
65,0.10057598582188747,
66,0.1081081081081081,
67,0.12627381479840497,
68,0.15861763402747012,
69,0.17855560478511298,
70,0.15728843597696057,
71,0.17102348249889235,
72,0.2007089056269384,
73,0.24811696942844486,
74,0.2645104120513957,
75,0.2667257421355782,
76,0.2769162605228179,
77,0.3783783783783784,
78,0.38546743464776256,
79,0.4000886132033673,
80,0.38812583074878154,
81,0.3885688967656181,
82,0.34470536109880373,
83,0.37527691626052284,
84,0.33540097474523706,
85,0.36641559592379264,
86,0.36154186973859104,
87,0.39344262295081966,
88,0.40673460345591494,
89,0.46610544971200707,
90,0.46078865750996906,
91,0.4470536109880372,
92,0.4479397430217102,
93,0.46610544971200707,
94,0.45768719539211344,
95,0.4643331856446611,
96,0.42755870624723086,
97,0.39698715108551175,
98,0.39875941515285784,
99,0.4262295081967213,
100,0.5006645990252547,
101,0.4864864864864865,
102,0.5206025697828977,
103,0.5662383695170581,
104,0.5883916703588835,
105,0.6003544528134692,
106,0.589720868409393,
107,0.5498449268941072,
108,0.5782011519716438,
109,0.5564909171466548,
110,0.540097474523704,
111,0.5152857775808596,
112,0.4975631369073992,
113,0.4793974302171024,
114,0.4306601683650864,
115,0.4164820558263181,
116,0.3770491803278688,
117,0.3903411608329641,
118,0.42046964997784675,
119,0.42844483828090385,
120,0.46610544971200707,
121,0.45281346920691184,
122,0.409392999556934,
123,0.43730615861763406,
124,0.4231280460788657,
125,0.39875941515285784,
126,0.37882144439521487,
127,0.31191847585290206,
128,0.2857775808595481,
129,0.332742578644218,
130,0.30615861763402746,
131,0.2800177226406735,
132,0.24457244129375277,
133,0.2702702702702703,
134,0.2782454585733274,
135,0.29286663712893224,
136,0.24457244129375277,
137,0.2352680549401861,
138,0.2357111209570226,
139,0.2605228178998671,
