,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,7.934408886537952e-05,
48,0.00010579211848717269,
49,0.00015868817773075905,
50,0.00026448029621793174,
51,0.0003438243850833113,
52,0.00039672044432689763,
53,0.0005554086220576567,
54,0.0005025125628140704,
55,0.0005818566516794498,
56,0.0007140967997884157,
57,0.0009521290663845543,
58,0.001057921184871727,
59,0.0010050251256281408,
60,0.0011901613329806928,
61,0.002618354932557524,
62,0.003358899761967733,
63,0.004205236709865115,
64,0.005183813805871462,
65,0.006426871198095742,
66,0.007987304945781539,
67,0.008489817508595609,
68,0.008119545093890504,
69,0.009891563078550648,
70,0.011399100766992859,
71,0.012483469981486379,
72,0.012668606188838931,
73,0.013647183284845278,
74,0.015419201269505422,
75,0.017270563343030943,
76,0.016212642158159218,
77,0.01883099709071674,
78,0.020946839460460193,
79,0.024226395133562548,
80,0.025628140703517585,
81,0.02591906902935731,
82,0.025231420259190687,
83,0.027796879132504625,
84,0.024940491933350965,
85,0.02375033060037027,
86,0.021687384289870403,
87,0.022189896852684476,
88,0.02623644538481883,
89,0.02623644538481883,
90,0.026077757207088072,
91,0.028431631843427667,
92,0.028114255487966144,
93,0.03284845279026712,
94,0.031816979635017194,
95,0.02941020893943401,
96,0.029251520761703252,
97,0.03128801904258133,
98,0.030944194657498016,
99,0.032478180375562014,
100,0.02938376090981222,
101,0.025971965088600897,
102,0.02798201533985718,
103,0.029172176672837873,
104,0.03829674689235652,
105,0.03713303358899762,
106,0.03768844221105528,
107,0.0375826500925681,
108,0.04157630256545888,
109,0.035017191219254167,
110,0.037979370536895,
111,0.027532398836286696,
112,0.030097857709600637,
113,0.028881248346998147,
114,0.030362338005818564,
115,0.032689764612536365,
116,0.032689764612536365,
117,0.03287490081988892,
118,0.031684739486908226,
119,0.029013488495107116,
120,0.028352287754562285,
121,0.026130653266331655,
122,0.023670986511504892,
123,0.023670986511504892,
124,0.01724411531340915,
125,0.023829674689235653,
126,0.024094154985453583,
127,0.0236445384818831,
128,0.027373710658555938,
129,0.029780481354139115,
130,0.029780481354139115,
131,0.03871991536630521,
132,0.03229304416820947,
133,0.03522877545622851,
134,0.04028034911399101,
135,0.04009521290663846,
136,0.041867230891298596,
137,0.041867230891298596,
138,0.03787357841840783,
