,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.00022042818174303585,
48,0.00038574931805031277,
49,0.00038574931805031277,
50,0.0004408563634860717,
51,0.0004684098862039512,
52,0.0004959634089218307,
53,0.0004959634089218307,
54,0.00041330284076819226,
55,0.00041330284076819226,
56,0.0006612845452291076,
57,0.0007714986361006255,
58,0.0007439451133827461,
59,0.0013776761358939742,
60,0.001983853635687323,
61,0.0022318353401482383,
62,0.002562477612762792,
63,0.002948226930813105,
64,0.00371972556691373,
65,0.005235169316397102,
66,0.006337310225112281,
67,0.006778166588598354,
68,0.008817127269721435,
69,0.010305017496486928,
70,0.01110406965530543,
71,0.011985782382277576,
72,0.01281238806381396,
73,0.013418565563607309,
74,0.014658474085911885,
75,0.01435538533601521,
76,0.015209544540269475,
77,0.016449453062574053,
78,0.01807511090292894,
79,0.018984377152618963,
80,0.019948750447744745,
81,0.01975587578871959,
82,0.021050891356459926,
83,0.0233653872647618,
84,0.023392940787479683,
85,0.02399911828727303,
86,0.026010525445678234,
87,0.027525969195161606,
88,0.036232882374011524,
89,0.039787286804617975,
90,0.04788802248367454,
91,0.048218664756289095,
92,0.04904527043782548,
93,0.05813793293472571,
94,0.0710605350894112,
95,0.07053701815777148,
96,0.07447717190642825,
97,0.07552420576970766,
98,0.08533325985727276,
99,0.08874989667428983,
100,0.09464635053591602,
101,0.09770479155760065,
102,0.10216846223789712,
103,0.10594329485024662,
104,0.10544733144132477,
105,0.09809054087565096,
106,0.10773427382690878,
107,0.09836607610282976,
108,0.08356983440332848,
109,0.07687432838288376,
110,0.07334747747499518,
111,0.07431185077012097,
112,0.07924393133662139,
113,0.07180448020279394,
114,0.07139117736202574,
115,0.07315460281597003,
116,0.0739812084975064,
117,0.07122585622571846,
118,0.06590802634116773,
119,0.06194031906979308,
120,0.06312512054666189,
121,0.06521918827322074,
122,0.0680847546358802,
123,0.07067478577136088,
124,0.07152894497561513,
125,0.06505386713691345,
126,0.07516600997437523,
127,0.0702339294078748,
128,0.06574270520486045,
129,0.06455790372799163,
130,0.06262915713774007,
131,0.058909431570826336,
132,0.0632353346375334,
133,0.04841153941531425,
134,0.060645303502052744,
135,0.0632353346375334,
136,0.06315267406937979,
137,0.058385914639186624,
138,0.06130658804728185,
