,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,9.72885676204189e-06,
8,9.72885676204189e-06,
9,9.72885676204189e-06,
10,9.72885676204189e-06,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,9.72885676204189e-06,
45,2.9186570286125674e-05,
46,2.9186570286125674e-05,
47,4.8644283810209455e-05,
48,4.8644283810209455e-05,
49,8.755971085837702e-05,
50,8.755971085837702e-05,
51,7.783085409633513e-05,
52,7.783085409633513e-05,
53,7.783085409633513e-05,
54,0.0001167462811445027,
55,0.00013620399466858648,
56,0.00016539056495471215,
57,0.0003307811299094243,
58,0.0005156294083882202,
59,0.0008853259653458121,
60,0.001362039946685865,
61,0.0021014330606010487,
62,0.002977030169184819,
63,0.0036385924290036676,
64,0.004514189537587438,
65,0.005837314057225134,
66,0.006518334030568067,
67,0.00746203313648613,
68,0.00895054822107854,
69,0.009368889061846342,
70,0.009855331899948437,
71,0.010584996157101578,
72,0.010760115578818332,
73,0.012112426668742154,
74,0.013133956628756554,
75,0.012666971504178542,
76,0.012511309795985873,
77,0.01276426007179896,
78,0.013834434315623569,
79,0.013056125774660218,
80,0.0133771780478076,
81,0.012355648087793202,
82,0.012112426668742154,
83,0.011898391819977233,
84,0.012024866957883778,
85,0.01183028982264294,
86,0.01358148403981048,
87,0.012890735209705505,
88,0.013513382042476187,
89,0.013260431766663099,
90,0.014136028875246868,
91,0.014564098572776712,
92,0.01492406627297226,
93,0.014943523986496345,
94,0.015196474262309434,
95,0.015546713105742942,
96,0.016072071370893205,
97,0.016509869925185088,
98,0.01695739733623902,
99,0.018290250712638755,
100,0.01865994726959635,
101,0.020274937492095302,
102,0.02056680319495656,
103,0.02143267144677829,
104,0.022921186531370694,
105,0.024361057332152897,
106,0.022337455125648182,
107,0.024954517594637453,
108,0.025256112154260747,
109,0.024108107056339808,
110,0.023932987634623055,
111,0.023650850788523838,
112,0.02402054734548143,
113,0.02655005010361232,
114,0.025703639565314677,
115,0.02598577641141389,
116,0.02742564721219609,
117,0.027153239222858918,
118,0.027542393493340596,
119,0.026481948106278026,
120,0.025703639565314677,
121,0.023728681642620174,
122,0.023427087082996876,
123,0.023368713942424624,
124,0.023251967661280123,
125,0.02155914658468483,
126,0.022999017385467033,
127,0.02381624135347855,
128,0.027805072625915726,
129,0.031288003346726725,
130,0.03677507856051835,
131,0.03466391664315526,
132,0.04345880315604113,
133,0.04824540068296574,
