,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.03775169920830894,
8,0.03775169920830894,
9,0.03775169920830894,
10,0.03775169920830894,
11,0.03775169920830894,
12,0.03775169920830894,
13,0.03775169920830894,
14,0.03775169920830894,
15,0.03775169920830894,
16,0.03775169920830894,
17,0.03775169920830894,
18,0.03775169920830894,
19,0.03775169920830894,
20,0.03775169920830894,
21,0.03775169920830894,
22,0.03775169920830894,
23,0.03775169920830894,
24,0.03775169920830894,
25,0.03775169920830894,
26,0.03775169920830894,
27,0.03775169920830894,
28,0.03775169920830894,
29,0.03775169920830894,
30,0.03775169920830894,
31,0.03775169920830894,
32,0.03775169920830894,
33,0.03775169920830894,
34,0.03775169920830894,
35,0.03775169920830894,
36,0.03775169920830894,
37,0.03775169920830894,
38,0.03775169920830894,
39,0.03775169920830894,
40,0.03775169920830894,
41,0.03775169920830894,
42,0.03775169920830894,
43,0.037777155512562687,
44,0.037777155512562687,
45,0.037777155512562687,
46,0.037802611816816434,
47,0.037853524425323935,
48,0.03782806812107018,
49,0.03782806812107018,
50,0.03787898072957768,
51,0.03805717485935392,
52,0.038337194206145155,
53,0.03856630094442889,
54,0.03917725224651885,
55,0.04042461115495252,
56,0.04187562049741619,
57,0.04350482396965609,
58,0.045923172873762186,
59,0.04778148308428583,
60,0.049385230252271976,
61,0.05289820023928926,
62,0.057123946745411505,
63,0.06137514955578749,
64,0.06603365323422346,
65,0.07059033169564442,
66,0.07311050581676552,
67,0.0743578647251992,
68,0.07911819362065015,
69,0.08118015426520378,
70,0.08214749382684622,
71,0.08258025099915994,
72,0.08123106687371127,
73,0.0798818827482626,
74,0.0790927373163964,
75,0.0776671842781865,
76,0.07603798080594659,
77,0.07517246646131914,
78,0.07336506885930301,
79,0.07300868059975052,
80,0.0719904284296006,
81,0.07201588473385434,
82,0.07046305017437568,
83,0.07005574930631571,
84,0.06941934169997199,
85,0.06957207952549449,
86,0.06809561387877708,
87,0.06977572995952447,
88,0.07051396278288319,
89,0.07081943843392816,
90,0.07148130234452563,
91,0.07211770995086933,
92,0.07283048646997428,
93,0.07407784537840796,
94,0.07313596212101928,
95,0.0718886032125856,
96,0.07227044777639183,
97,0.0757834177634091,
98,0.07779446579945523,
99,0.07865998014408268,
100,0.0806710281801288,
101,0.07950003818445639,
102,0.07934730035893389,
103,0.07787083471221648,
104,0.07537611689534914,
105,0.07221953516788432,
106,0.06903749713616578,
107,0.06519359519384976,
108,0.06623730366825345,
109,0.0661609347554922,
110,0.06519359519384976,
111,0.06292798411526615,
112,0.06453173128325229,
113,0.06580454649593973,
114,0.06707736170862715,
115,0.06649186671079092,
116,0.06608456584273095,
117,0.0685283710510908,
118,0.06827380800855332,
119,0.06751011888094087,
120,0.069317516482957,
121,0.06997938039355447,
122,0.06985209887228572,
