,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,0.0,
50,3.9837463150346584e-05,
51,0.0002390247789020795,
52,0.0003983746315034659,
53,0.0003983746315034659,
54,0.000478049557804159,
55,0.0008365867261572784,
56,0.0013544737471117838,
57,0.0019520356943669827,
58,0.0029479722731256476,
59,0.005178870209545057,
60,0.007808142777467931,
61,0.009321966377181102,
62,0.011632539239901204,
63,0.013544737471117839,
64,0.01728945900725042,
65,0.016094335112740023,
66,0.013704087323719227,
67,0.021910604732690624,
68,0.023862640427057605,
69,0.02477890207951558,
70,0.027487849573739145,
71,0.02764719942634053,
72,0.03888136403473827,
73,0.04310413512867501,
74,0.039518763445143816,
75,0.03995697553979763,
76,0.03896103896103897,
77,0.03748705282447613,
78,0.04302446020237431,
79,0.04003665046609833,
80,0.04278543542347223,
81,0.04115209943430803,
82,0.04350250976017848,
83,0.0466895068122062,
84,0.05397976256871963,
85,0.05425862481077206,
86,0.05274480121105888,
87,0.053063500916261656,
88,0.05943749502031711,
89,0.06246514221974345,
90,0.06473587761931321,
91,0.06103099354633097,
92,0.060871643693729584,
93,0.0653334395665684,
94,0.06923751095530237,
95,0.06505457732451597,
96,0.0630228667038483,
97,0.06493506493506494,
98,0.06648872599792845,
99,0.06636921360847742,
100,0.07091068440761693,
101,0.0688391363237989,
102,0.06549278941916979,
103,0.071149709186519,
104,0.0735399569755398,
105,0.07389849414389292,
106,0.07437654370169708,
107,0.07489443072265158,
108,0.07680662895386822,
109,0.07760337821687516,
110,0.07158792128117282,
111,0.06852043661859614,
112,0.06664807585052984,
113,0.07122938411281969,
114,0.06812206198709267,
115,0.0695960481236555,
116,0.07122938411281969,
117,0.06967572304995619,
118,0.07150824635487213,
119,0.07457573101744881,
120,0.06975539797625688,
121,0.0723448330810294,
122,0.07505378057525298,
123,0.07820094016413036,
124,0.08090988765835393,
125,0.08043183810054977,
126,0.08274241096326987,
127,0.08549119592064378,
128,0.08648713249940244,
129,0.08784160624651423,
130,0.08903673014102462,
131,0.09063022866703849,
132,0.09138714046689507,
133,0.0904708788144371,
134,0.08716436937295834,
135,0.07879850211138555,
136,0.0729423950282846,
137,0.07107003426021831,
138,0.08071070034260219,
139,0.08337981037367541,
