,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,4.6294153048469976e-05,
50,0.0002314707652423499,
51,0.0003703532243877598,
52,0.0005555298365816397,
53,0.0007407064487755196,
54,0.0010184713670663395,
55,0.0012962362853571594,
56,0.0016665895097449195,
57,0.0026387667237627887,
58,0.004259062080459238,
59,0.004907180223137818,
60,0.006620063885931207,
61,0.007545946946900606,
62,0.008934771538354707,
63,0.011943891486505254,
64,0.012267950557844543,
65,0.012730892088329244,
66,0.013147539465765473,
67,0.013193833618813945,
68,0.014721540669413453,
69,0.015693717883431324,
70,0.015091893893801212,
71,0.016249247720012964,
72,0.016527012638303782,
73,0.015647423730382852,
74,0.018934308596824222,
75,0.019489838433405862,
76,0.01995277996389056,
77,0.021017545484005373,
78,0.021619369473635477,
79,0.02171195777973242,
80,0.02249895838155641,
81,0.019489838433405862,
82,0.02532290171751308,
83,0.02333225313642887,
84,0.02398037127910745,
85,0.02175825193278089,
86,0.02263784084070182,
87,0.025461784176658488,
88,0.023378547289477337,
89,0.023054488218138047,
90,0.03541502708207954,
91,0.036942734132679046,
92,0.045507152446645986,
93,0.05171056895514097,
94,0.05235868709781955,
95,0.0564325725660849,
96,0.05069209758807462,
97,0.03990555992778112,
98,0.03749826396926068,
99,0.031063376695523358,
100,0.02300819406508958,
101,0.02087866302485996,
102,0.01939725012730892,
103,0.018378778760242583,
104,0.01851766121938799,
105,0.018795426137678813,
106,0.019582426739502803,
107,0.02041572149437526,
108,0.017915837229757883,
109,0.02731355029859729,
110,0.02671172630896718,
111,0.02958196379797232,
112,0.029072728114439145,
113,0.031155965001620295,
114,0.03319290773575297,
115,0.03847044118327855,
116,0.03476690893940096,
117,0.03583167445951577,
118,0.03522985046988565,
119,0.035507615388176476,
120,0.05050692097588075,
121,0.053145687699643535,
122,0.055367807045970094,
123,0.053793805842322115,
124,0.0562936901069395,
125,0.058099162075829824,
126,0.05902504513679922,
127,0.04976621452710523,
128,0.053978982454516,
129,0.057312161474005835,
130,0.06166381186056201,
131,0.06545993241053655,
132,0.07582982269339383,
133,0.08263506319151892,
134,0.08754224341465675,
135,0.0868015369658812,
136,0.09680107402435073,
137,0.10055090042127679,
138,0.10619878709319014,
139,0.10467108004259063,
