,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,2.464875523786049e-05,
44,2.464875523786049e-05,
45,4.929751047572098e-05,
46,6.162188809465123e-05,
47,0.00018486566428395368,
48,0.00028346068523539563,
49,0.00028346068523539563,
50,0.00033275819571111664,
51,0.0005915701257086517,
52,0.0008380576780872566,
53,0.001146167118560513,
54,0.0019842247966477696,
55,0.0030071481390189798,
56,0.004855804781858516,
57,0.008762632487059404,
58,0.010377125955139267,
59,0.015467093911757457,
60,0.022381069755977326,
61,0.03296771013063841,
62,0.04200147892531428,
63,0.04911264481143703,
64,0.068905595267439,
65,0.09776928765097363,
66,0.1171925067784077,
67,0.14138526004436777,
68,0.16989154547695343,
69,0.1851244762139512,
70,0.2200271136307617,
71,0.2373551885629776,
72,0.25967463643086025,
73,0.29776928765097366,
74,0.29725166379097856,
75,0.3013926546709391,
76,0.3169829923588859,
77,0.31035247719990144,
78,0.31800591570125714,
79,0.30432585654424454,
80,0.2853586393887109,
81,0.3000369731328568,
82,0.2904116342124723,
83,0.29553857530194727,
84,0.2907690411634213,
85,0.2948484101552872,
86,0.29834853339906336,
87,0.29047325610056696,
88,0.2890189795415332,
89,0.29661079615479424,
90,0.2955016021690905,
91,0.3004806507271383,
92,0.304067044614247,
93,0.2954892777914716,
94,0.3001478925314272,
95,0.29780626078383043,
96,0.28045353709637666,
97,0.2695711116588613,
98,0.26305151589844716,
99,0.23777421740202123,
100,0.2269903869854573,
101,0.21743899433078634,
102,0.21295292087749573,
103,0.20693862459945775,
104,0.20146660093665272,
105,0.18598718264727632,
106,0.17689179196450583,
107,0.17579492235642102,
108,0.16475228000985953,
109,0.14527976337194973,
110,0.14389943307862954,
111,0.125092432832142,
112,0.1188562977569633,
113,0.11176978062607841,
114,0.1041533152575795,
115,0.09864431846191768,
116,0.09615479418289379,
117,0.0997535124476214,
118,0.10187330539807742,
119,0.10979788020704956,
120,0.10794922356421001,
121,0.10716046339659849,
122,0.09857037219620411,
123,0.09637663298003452,
124,0.08692383534631502,
125,0.08346068523539563,
126,0.07676854818831651,
127,0.07828444663544493,
128,0.0768055213211733,
129,0.08034261769780628,
130,0.067845698792211,
131,0.06220113384274095,
132,0.07103771259551393,
133,0.06704461424698054,
134,0.058097116095637176,
135,0.05531180675375894,
136,0.052390929258072476,
