,case_ma,vacc_rate
0,,
1,,
2,,
3,,
4,,
5,,
6,,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,0.0,
20,0.0,
21,0.0,
22,0.0,
23,0.0,
24,0.0,
25,0.0,
26,0.0,
27,0.0,
28,0.0,
29,0.0,
30,0.0,
31,0.0,
32,0.0,
33,0.0,
34,0.0,
35,0.0,
36,0.0,
37,0.0,
38,0.0,
39,0.0,
40,0.0,
41,0.0,
42,0.0,
43,0.0,
44,0.0,
45,0.0,
46,0.0,
47,0.0,
48,0.0,
49,0.0,
50,0.0,
51,0.0004362050163576881,
52,0.0006543075245365322,
53,0.0006543075245365322,
54,0.0008724100327153762,
55,0.0009814612868047983,
56,0.0013086150490730644,
57,0.0016357688113413304,
58,0.0016357688113413304,
59,0.0022900763358778627,
60,0.0030534351145038168,
61,0.004034896401308615,
62,0.004580152671755725,
63,0.0057797164667393675,
64,0.00806979280261723,
65,0.011014176663031625,
66,0.013086150490730643,
67,0.013849509269356597,
68,0.014394765539803707,
69,0.01603053435114504,
70,0.01657579062159215,
71,0.01657579062159215,
72,0.015485278080697927,
73,0.014612868047982551,
74,0.014721919302071973,
75,0.015376226826608505,
76,0.013086150490730643,
77,0.012431842966194111,
78,0.009814612868047983,
79,0.0075245365321701205,
80,0.0054525627044711015,
81,0.003816793893129771,
82,0.0014176663031624864,
83,0.0014176663031624864,
84,0.0,
85,0.008942202835332605,
86,0.009923664122137405,
87,0.010359869138495093,
88,0.011123227917121047,
89,0.011123227917121047,
90,0.011559432933478735,
91,0.011777535441657579,
92,0.003162486368593239,
93,0.0023991275899672847,
94,0.0020719738276990187,
95,0.0016357688113413304,
96,0.0017448200654307524,
97,0.0015267175572519084,
98,0.0013086150490730644,
99,0.0010905125408942203,
100,0.0008724100327153762,
101,0.0009814612868047983,
102,0.0006543075245365322,
103,0.0007633587786259542,
104,0.0005452562704471102,
105,0.0005452562704471102,
106,0.0004362050163576881,
107,0.0006543075245365322,
108,0.0005452562704471102,
109,0.0005452562704471102,
110,0.0004362050163576881,
111,0.0006543075245365322,
112,0.0007633587786259542,
113,0.0007633587786259542,
114,0.0009814612868047983,
115,0.0010905125408942203,
116,0.0010905125408942203,
117,0.0011995637949836423,
118,0.0010905125408942203,
119,0.0017448200654307524,
120,0.0017448200654307524,
121,0.0013086150490730644,
122,0.0015267175572519084,
123,0.0015267175572519084,
124,0.0013086150490730644,
125,0.0011995637949836423,
126,0.0006543075245365322,
127,0.0010905125408942203,
128,0.0019629225736095966,
129,0.0028353326063249727,
130,0.003925845147219193,
131,0.004362050163576881,
132,0.004798255179934569,
133,0.004798255179934569,
134,0.0058887677208287895,
135,0.005234460196292257,
136,0.004034896401308615,
137,0.003489640130861505,
